policy_number,client_name,client_type,carrier_name,category,sub_category,issue_date,expiry_date,premium_amount,policy_status,distribution_channel,region,claim_amount,claim_status,commission_earned
POL-2154411,Jagrati Kibe,Individual/B2C,ICICI Lombard,Motor,CV,2026-04-03,2026-04-19,18482.23,Cancelled,Broker,Maharashtra,0.0,No Claim,2827.78
POL-42182755,Jagrati Kibe,Individual/B2C,United India,Motor,CV,2025-12-09,2026-11-24,34335.37,Active,Agency,Maharashtra,0.0,No Claim,3090.18
POL-40047725,Jagrati Kibe,Individual/B2C,HDFC ERGO,Health,Individual,2025-06-17,2026-01-15,19037.51,Active,Online,Maharashtra,0.0,No Claim,3236.38
POL-27004984,Darika Sunder,Individual/B2C,Bajaj Allianz,Home,Theft,2025-03-24,2025-12-12,19287.37,Active,Broker,Delhi,0.0,No Claim,3201.7
POL-23310917,Darika Sunder,Individual/B2C,HDFC ERGO,Travel,Overseas,2025-04-11,2025-12-20,25356.78,Active,Broker,Delhi,0.0,No Claim,2079.26
POL-49119178,Darika Sunder,Individual/B2C,HDFC ERGO,Health,Group Medi,2025-03-16,2025-11-28,42376.83,Renewed,Direct,Delhi,0.0,No Claim,6526.03
POL-13705801,Vasana Reddy,Individual/B2C,New India Assurance,Health,Individual,2025-02-24,2025-04-16,43451.45,Expired,Online,Maharashtra,0.0,No Claim,5127.27
POL-98395076,Vasana Reddy,Individual/B2C,New India Assurance,Motor,CV,2024-11-29,2025-06-14,49555.77,Active,Online,Maharashtra,0.0,No Claim,6690.03
POL-92363797,Bhattacharyya-Mukherjee,Corporate/B2B,HDFC ERGO,Home,Theft,2024-08-20,2025-06-30,16046.15,Cancelled,Direct,Delhi,0.0,No Claim,1765.08
POL-56234067,Bhattacharyya-Mukherjee,Corporate/B2B,Bajaj Allianz,Motor,CV,2025-08-18,2026-06-25,37925.05,Renewed,Broker,Delhi,0.0,No Claim,4133.83
POL-74234412,Bhattacharyya-Mukherjee,Corporate/B2B,New India Assurance,Health,Group Medi,2024-07-25,2025-03-24,33078.53,Cancelled,Online,Delhi,0.0,No Claim,5722.59
POL-98170511,Koshy Group,Corporate/B2B,ICICI Lombard,Health,Individual,2025-01-23,2025-10-02,29677.93,Cancelled,Agency,Uttar Pradesh,0.0,No Claim,2641.34
POL-8110043,Kota Ltd,Corporate/B2B,ICICI Lombard,Travel,Flight,2026-01-29,2026-04-10,13913.4,Cancelled,Online,Delhi,0.0,No Claim,1600.04
POL-70594025,Kota Ltd,Corporate/B2B,HDFC ERGO,Travel,Flight,2025-05-30,2026-02-01,9363.04,Active,Agency,Delhi,0.0,No Claim,1320.19
POL-18275791,Yohannan-Ravi,Corporate/B2B,HDFC ERGO,Motor,CV,2025-09-23,2026-08-21,24220.15,Cancelled,Direct,Uttar Pradesh,4877.62,Under Review,4238.53
POL-60599127,Yohannan-Ravi,Corporate/B2B,HDFC ERGO,Motor,2W,2026-05-09,2026-09-11,33767.18,Renewed,Direct,Uttar Pradesh,0.0,No Claim,6044.33
POL-63870659,Yohannan-Ravi,Corporate/B2B,New India Assurance,Travel,Flight,2026-05-03,2026-07-08,22602.34,Renewed,Online,Uttar Pradesh,0.0,No Claim,3006.11
POL-38215402,Yohannan-Ravi,Corporate/B2B,HDFC ERGO,Travel,Overseas,2025-07-26,2026-07-03,33119.64,Cancelled,Broker,Uttar Pradesh,0.0,No Claim,3709.4
POL-18593692,Zilmil Shetty,Individual/B2C,New India Assurance,Home,Damage,2025-11-19,2026-08-10,34305.68,Cancelled,Agency,Delhi,0.0,No Claim,3018.9
POL-25340842,"Doshi, Jha and Krishnan",Corporate/B2B,HDFC ERGO,Home,Theft,2026-01-14,2026-11-12,6234.26,Cancelled,Broker,Maharashtra,0.0,No Claim,1028.65
POL-50876941,Basu-Seth,Corporate/B2B,ICICI Lombard,Health,Group Medi,2026-03-09,2026-05-21,13435.13,Cancelled,Direct,Delhi,0.0,No Claim,1182.29
POL-67303750,Basu-Seth,Corporate/B2B,TATA AIG,Health,Individual,2026-01-22,2026-06-19,5417.98,Active,Direct,Delhi,0.0,No Claim,904.8
POL-95021436,Basu-Seth,Corporate/B2B,New India Assurance,Home,Theft,2024-11-16,2025-06-04,11989.94,Renewed,Direct,Delhi,0.0,No Claim,1702.57
POL-5333616,Saumya Khatri,Individual/B2C,Bajaj Allianz,Home,Theft,2026-01-24,2026-12-27,26020.48,Expired,Broker,Gujarat,0.0,No Claim,2888.27
POL-6665787,"Parmar, Iyengar and Hora",Corporate/B2B,TATA AIG,Travel,Flight,2026-05-19,2026-10-27,15131.18,Renewed,Agency,Gujarat,27015.06,Under Review,2118.37
POL-83796346,Amruta Sethi,Individual/B2C,United India,Home,Theft,2026-04-07,2027-02-02,47485.05,Renewed,Direct,Uttar Pradesh,0.0,No Claim,5270.84
POL-896387,Varty-Zachariah,Corporate/B2B,HDFC ERGO,Travel,Flight,2026-03-07,2027-03-06,40233.37,Active,Broker,Karnataka,24596.72,Rejected,5190.1
POL-44511089,Varty-Zachariah,Corporate/B2B,HDFC ERGO,Health,Group Medi,2025-01-18,2025-06-12,36527.83,Renewed,Direct,Karnataka,13616.52,Settled,4858.2
POL-36586381,Varty-Zachariah,Corporate/B2B,TATA AIG,Motor,4W,2024-07-11,2024-09-02,45651.57,Active,Agency,Karnataka,0.0,No Claim,5295.58
POL-46603931,Nihal Mukherjee,Individual/B2C,New India Assurance,Home,Theft,2026-01-13,2026-02-10,45532.76,Expired,Direct,Delhi,0.0,No Claim,4872.01
POL-8113097,Nihal Mukherjee,Individual/B2C,ICICI Lombard,Motor,4W,2024-08-18,2025-04-10,33048.38,Renewed,Agency,Delhi,31773.44,Approved,4527.63
POL-67956,Nihal Mukherjee,Individual/B2C,TATA AIG,Motor,CV,2025-08-27,2026-06-19,14708.56,Cancelled,Online,Delhi,0.0,No Claim,2559.29
POL-82401233,Vedant Lall,Individual/B2C,Bajaj Allianz,Motor,CV,2026-05-29,2026-06-19,25575.64,Active,Direct,Uttar Pradesh,0.0,No Claim,4092.1
POL-78809563,Vedant Lall,Individual/B2C,New India Assurance,Health,Individual,2026-06-16,2026-12-01,30527.15,Expired,Broker,Uttar Pradesh,0.0,No Claim,3357.99
POL-86711014,Vedant Lall,Individual/B2C,Bajaj Allianz,Motor,CV,2025-09-08,2026-01-05,37317.79,Active,Direct,Uttar Pradesh,0.0,No Claim,3022.74
POL-82127218,Vedant Lall,Individual/B2C,ICICI Lombard,Motor,CV,2025-03-09,2025-07-21,19880.55,Expired,Direct,Uttar Pradesh,0.0,No Claim,3260.41
POL-23110797,Vedant Lall,Individual/B2C,Bajaj Allianz,Motor,4W,2026-01-11,2026-12-10,16855.86,Expired,Direct,Uttar Pradesh,0.0,No Claim,2865.5
